,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,locked_date,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,community_owned_date,closed_date,closed_reason
0,"['python', 'pandas']","{'account_id': 510111, 'reputation': 54292, 'user_id': 1222578, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/daae63146dbed42f50cd56f7268c6260?s=256&d=identicon&r=PG', 'display_name': 'Marius', 'link': 'https://stackoverflow.com/users/1222578/marius'}",True,40642,20159305.0,5,220,1543143021.0,1649006979,1384990299,1495540498,20109391,CC BY-SA 3.0,https://stackoverflow.com/questions/20109391/how-to-make-good-reproducible-pandas-examples,How to make good reproducible pandas examples,,,,
1,"['python', 'if-statement', 'comparison', 'match', 'boolean-logic']","{'account_id': 2112437, 'reputation': 8061, 'user_id': 1877442, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d13a4b93913722793496a3123de88a2c?s=256&d=identicon&r=PG', 'display_name': 'user1877442', 'link': 'https://stackoverflow.com/users/1877442/user1877442'}",True,430009,15112149.0,28,787,,1642880434,1361967983,1640169757,15112125,CC BY-SA 4.0,https://stackoverflow.com/questions/15112125/how-to-test-multiple-variables-for-equality-against-a-single-value,How to test multiple variables for equality against a single value?,1425777531.0,,,
2,['python'],"{'account_id': 921943, 'reputation': 72023, 'user_id': 953482, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/T3HH6.png?s=256&g=1', 'display_name': 'Kevin', 'link': 'https://stackoverflow.com/users/953482/kevin'}",True,857932,23294659.0,22,699,,1644802105,1398432707,1617213263,23294658,CC BY-SA 4.0,https://stackoverflow.com/questions/23294658/asking-the-user-for-input-until-they-give-a-valid-response,Asking the user for input until they give a valid response,1421270007.0,1398432898.0,,
3,"['python', 'variable-variables']","{'user_type': 'does_not_exist', 'display_name': 'Pyornide'}",True,209149,1373185.0,17,485,,1648887168,1251981468,1610503314,1373164,CC BY-SA 4.0,https://stackoverflow.com/questions/1373164/how-do-i-create-variable-variables,How do I create variable variables?,1461250989.0,,,
4,"['python', 'slice', 'sequence']","{'account_id': 12256, 'reputation': 74805, 'user_id': 24039, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/56e7993be670c363354b696cff311172?s=256&d=identicon&r=PG', 'display_name': 'Simon', 'link': 'https://stackoverflow.com/users/24039/simon'}",True,2537096,509295.0,34,4209,,1648552222,1233700262,1648552222,509211,CC BY-SA 4.0,https://stackoverflow.com/questions/509211/understanding-slicing,Understanding slicing,1360315248.0,,,
5,"['python', 'list', 'nested-lists', 'mutable']","{'account_id': 6865, 'reputation': 17867, 'user_id': 11677, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/XTgip.jpg?s=256&g=1', 'display_name': 'Charles Anderson', 'link': 'https://stackoverflow.com/users/11677/charles-anderson'}",True,62113,240205.0,17,857,,1649646277,1225119442,1624033765,240178,CC BY-SA 4.0,https://stackoverflow.com/questions/240178/list-of-lists-changes-reflected-across-sublists-unexpectedly,List of lists changes reflected across sublists unexpectedly,1461510895.0,,,
6,"['python', 'language-design', 'default-parameters', 'least-astonishment']","{'account_id': 29108, 'reputation': 132473, 'user_id': 78374, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/f13cb1b1bd8b16bf6dc6eda558e162a0?s=256&d=identicon&r=PG', 'display_name': 'Stefano Borini', 'link': 'https://stackoverflow.com/users/78374/stefano-borini'}",True,213644,1145781.0,32,3109,,1648721387,1247680837,1627688197,1132941,CC BY-SA 4.0,https://stackoverflow.com/questions/1132941/least-astonishment-and-the-mutable-default-argument,"""Least Astonishment"" and the Mutable Default Argument",1326471202.0,,,
7,"['python', 'list', 'reference', 'copy', 'clone']","{'account_id': 63413, 'reputation': 62124, 'user_id': 187730, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/779f1fe080fea457f5ab867d34572363?s=256&d=identicon&r=PG', 'display_name': 'aF.', 'link': 'https://stackoverflow.com/users/187730/af'}",True,1992982,2612815.0,21,3054,,1648777112,1270889386,1648777112,2612802,CC BY-SA 4.0,https://stackoverflow.com/questions/2612802/how-do-i-clone-a-list-so-that-it-doesnt-change-unexpectedly-after-assignment,How do I clone a list so that it doesn't change unexpectedly after assignment?,1417799428.0,,,
8,"['python', 'pandas', 'join', 'merge', 'concatenation']","{'account_id': 6321039, 'reputation': 325123, 'user_id': 4909087, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/LmD3e.png?s=256&g=1', 'display_name': 'cs95', 'link': 'https://stackoverflow.com/users/4909087/cs95'}",True,284038,53645883.0,6,748,,1631941129,1544078475,1627753111,53645882,CC BY-SA 4.0,https://stackoverflow.com/questions/53645882/pandas-merging-101,Pandas Merging 101,1579022049.0,,,
9,"['python', 'pandas', 'group-by', 'pivot', 'pandas-groupby']","{'account_id': 2707337, 'reputation': 263685, 'user_id': 2336654, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/Mqqfo.png?s=256&g=1', 'display_name': 'piRSquared', 'link': 'https://stackoverflow.com/users/2336654/pirsquared'}",True,49737,47152692.0,3,522,,1628336575,1510041628,1627755056,47152691,CC BY-SA 4.0,https://stackoverflow.com/questions/47152691/how-can-i-pivot-a-dataframe,How can I pivot a dataframe?,1576709015.0,,,
10,"['python', 'iteration']","{'account_id': 32661, 'reputation': 47688, 'user_id': 90777, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/43918f842a892d0deb9ef1d8dcc9fe49?s=256&d=identicon&r=PG', 'display_name': 'lfaraone', 'link': 'https://stackoverflow.com/users/90777/lfaraone'}",True,742031,1207461.0,25,933,1578455145.0,1616190762,1248968202,1519827952,1207406,CC BY-SA 3.0,https://stackoverflow.com/questions/1207406/how-to-remove-items-from-a-list-while-iterating,How to remove items from a list while iterating?,1542590828.0,,,
11,"['python', 'python-3.x', 'python-2.7', 'input', 'int']","{'user_type': 'does_not_exist', 'display_name': 'user2509848'}",True,1012112,20449433.0,10,260,1558125821.0,1647570010,1386472095,1556413510,20449427,CC BY-SA 4.0,https://stackoverflow.com/questions/20449427/how-can-i-read-inputs-as-numbers,How can I read inputs as numbers?,1433040159.0,,,
12,"['python', 'list', 'multidimensional-array', 'flatten']","{'account_id': 38503, 'reputation': 46655, 'user_id': 110527, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1a3fec384503a3e0b33361f146006598?s=256&d=identicon&r=PG', 'display_name': 'Emma', 'link': 'https://stackoverflow.com/users/110527/emma'}",True,3353852,952952.0,28,4597,,1650144020,1244147405,1648547372,952914,CC BY-SA 4.0,https://stackoverflow.com/questions/952914/how-to-make-a-flat-list-out-of-a-list-of-lists,How to make a flat list out of a list of lists?,1357910574.0,,,
13,"['python', 'list', 'split', 'chunks']","{'account_id': 39020, 'reputation': 30048, 'user_id': 112415, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b658715b9635ef057daf2a22d4a8f36e?s=256&d=identicon&r=PG', 'display_name': 'jespern', 'link': 'https://stackoverflow.com/users/112415/jespern'}",True,1383347,312464.0,70,2828,,1648778389,1227442552,1648778237,312443,CC BY-SA 4.0,https://stackoverflow.com/questions/312443/how-do-you-split-a-list-into-evenly-sized-chunks,How do you split a list into evenly sized chunks?,1377874772.0,,,
14,"['python', 'reference', 'parameter-passing', 'pass-by-reference']","{'account_id': 206, 'reputation': 45839, 'user_id': 259, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/0c95a3798d9a008b6c29605b8f15b47a?s=256&d=identicon&r=PG', 'display_name': 'David Sykes', 'link': 'https://stackoverflow.com/users/259/david-sykes'}",True,1746035,986145.0,36,3075,,1648816279,1244802231,1648816279,986006,CC BY-SA 4.0,https://stackoverflow.com/questions/986006/how-do-i-pass-a-variable-by-reference,How do I pass a variable by reference?,1334875788.0,,,
15,"['python', 'syntax', 'parameter-passing', 'variadic-functions', 'argument-unpacking']","{'account_id': 1863, 'reputation': 30990, 'user_id': 2572, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/133b9402dcc48504a13732d459b7eaa8?s=256&d=identicon&r=PG', 'display_name': 'Todd', 'link': 'https://stackoverflow.com/users/2572/todd'}",True,1060741,36908.0,23,2969,,1648777679,1220195075,1648777679,36901,CC BY-SA 4.0,https://stackoverflow.com/questions/36901/what-does-double-star-asterisk-and-star-asterisk-do-for-parameters,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,1485095604.0,,,
