,tags,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,link,title
0,"['python', 'pandas']",True,40651,20159305.0,5,220,2022-04-03,2013-11-21,20109391,https://stackoverflow.com/questions/20109391/how-to-make-good-reproducible-pandas-examples,How to make good reproducible pandas examples
1,"['python', 'if-statement', 'comparison', 'match', 'boolean-logic']",True,430096,15112149.0,28,787,2022-01-22,2013-02-27,15112125,https://stackoverflow.com/questions/15112125/how-to-test-multiple-variables-for-equality-against-a-single-value,How to test multiple variables for equality against a single value?
2,['python'],True,858034,23294659.0,22,699,2022-02-14,2014-04-25,23294658,https://stackoverflow.com/questions/23294658/asking-the-user-for-input-until-they-give-a-valid-response,Asking the user for input until they give a valid response
3,"['python', 'variable-variables']",True,209171,1373185.0,17,485,2022-04-02,2009-09-03,1373164,https://stackoverflow.com/questions/1373164/how-do-i-create-variable-variables,How do I create variable variables?
4,"['python', 'slice', 'sequence']",True,2537413,509295.0,34,4209,2022-03-29,2009-02-04,509211,https://stackoverflow.com/questions/509211/understanding-slicing,Understanding slicing
5,"['python', 'list', 'nested-lists', 'mutable']",True,62122,240205.0,17,857,2022-04-11,2008-10-27,240178,https://stackoverflow.com/questions/240178/list-of-lists-changes-reflected-across-sublists-unexpectedly,List of lists changes reflected across sublists unexpectedly
6,"['python', 'language-design', 'default-parameters', 'least-astonishment']",True,213677,1145781.0,32,3109,2022-03-31,2009-07-15,1132941,https://stackoverflow.com/questions/1132941/least-astonishment-and-the-mutable-default-argument,"""Least Astonishment"" and the Mutable Default Argument"
7,"['python', 'list', 'reference', 'copy', 'clone']",True,1993128,2612815.0,21,3054,2022-04-01,2010-04-10,2612802,https://stackoverflow.com/questions/2612802/how-do-i-clone-a-list-so-that-it-doesnt-change-unexpectedly-after-assignment,How do I clone a list so that it doesn't change unexpectedly after assignment?
8,"['python', 'pandas', 'join', 'merge', 'concatenation']",True,284146,53645883.0,6,748,2021-09-18,2018-12-06,53645882,https://stackoverflow.com/questions/53645882/pandas-merging-101,Pandas Merging 101
9,"['python', 'pandas', 'group-by', 'pivot', 'pandas-groupby']",True,49746,47152692.0,3,522,2021-08-07,2017-11-07,47152691,https://stackoverflow.com/questions/47152691/how-can-i-pivot-a-dataframe,How can I pivot a dataframe?
