,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,locked_date,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,community_owned_date,closed_date,closed_reason
0,"['python', 'pandas']","{'account_id': 510111, 'reputation': 54292, 'user_id': 1222578, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/daae63146dbed42f50cd56f7268c6260?s=256&d=identicon&r=PG', 'display_name': 'Marius', 'link': 'https://stackoverflow.com/users/1222578/marius'}",True,40642,20159305.0,5,220,2018-11-25,2022-04-03,2013-11-21,2017-05-23,20109391,CC BY-SA 3.0,https://stackoverflow.com/questions/20109391/how-to-make-good-reproducible-pandas-examples,How to make good reproducible pandas examples,nan,,,
1,"['python', 'if-statement', 'comparison', 'match', 'boolean-logic']","{'account_id': 2112437, 'reputation': 8061, 'user_id': 1877442, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d13a4b93913722793496a3123de88a2c?s=256&d=identicon&r=PG', 'display_name': 'user1877442', 'link': 'https://stackoverflow.com/users/1877442/user1877442'}",True,430033,15112149.0,28,787,nan,2022-01-22,2013-02-27,2021-12-22,15112125,CC BY-SA 4.0,https://stackoverflow.com/questions/15112125/how-to-test-multiple-variables-for-equality-against-a-single-value,How to test multiple variables for equality against a single value?,2015-03-08,,,
2,['python'],"{'account_id': 921943, 'reputation': 72023, 'user_id': 953482, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/T3HH6.png?s=256&g=1', 'display_name': 'Kevin', 'link': 'https://stackoverflow.com/users/953482/kevin'}",True,857968,23294659.0,22,699,nan,2022-02-14,2014-04-25,2021-03-31,23294658,CC BY-SA 4.0,https://stackoverflow.com/questions/23294658/asking-the-user-for-input-until-they-give-a-valid-response,Asking the user for input until they give a valid response,2015-01-15,1398432898.0,,
3,"['python', 'variable-variables']","{'user_type': 'does_not_exist', 'display_name': 'Pyornide'}",True,209155,1373185.0,17,485,nan,2022-04-02,2009-09-03,2021-01-13,1373164,CC BY-SA 4.0,https://stackoverflow.com/questions/1373164/how-do-i-create-variable-variables,How do I create variable variables?,2016-04-21,,,
4,"['python', 'slice', 'sequence']","{'account_id': 12256, 'reputation': 74805, 'user_id': 24039, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/56e7993be670c363354b696cff311172?s=256&d=identicon&r=PG', 'display_name': 'Simon', 'link': 'https://stackoverflow.com/users/24039/simon'}",True,2537182,509295.0,34,4209,nan,2022-03-29,2009-02-04,2022-03-29,509211,CC BY-SA 4.0,https://stackoverflow.com/questions/509211/understanding-slicing,Understanding slicing,2013-02-08,,,
5,"['python', 'list', 'nested-lists', 'mutable']","{'account_id': 6865, 'reputation': 17867, 'user_id': 11677, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/XTgip.jpg?s=256&g=1', 'display_name': 'Charles Anderson', 'link': 'https://stackoverflow.com/users/11677/charles-anderson'}",True,62118,240205.0,17,857,nan,2022-04-11,2008-10-27,2021-06-18,240178,CC BY-SA 4.0,https://stackoverflow.com/questions/240178/list-of-lists-changes-reflected-across-sublists-unexpectedly,List of lists changes reflected across sublists unexpectedly,2016-04-24,,,
6,"['python', 'language-design', 'default-parameters', 'least-astonishment']","{'account_id': 29108, 'reputation': 132473, 'user_id': 78374, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/f13cb1b1bd8b16bf6dc6eda558e162a0?s=256&d=identicon&r=PG', 'display_name': 'Stefano Borini', 'link': 'https://stackoverflow.com/users/78374/stefano-borini'}",True,213648,1145781.0,32,3109,nan,2022-03-31,2009-07-15,2021-07-31,1132941,CC BY-SA 4.0,https://stackoverflow.com/questions/1132941/least-astonishment-and-the-mutable-default-argument,"""Least Astonishment"" and the Mutable Default Argument",2012-01-13,,,
7,"['python', 'list', 'reference', 'copy', 'clone']","{'account_id': 63413, 'reputation': 62124, 'user_id': 187730, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/779f1fe080fea457f5ab867d34572363?s=256&d=identicon&r=PG', 'display_name': 'aF.', 'link': 'https://stackoverflow.com/users/187730/af'}",True,1993018,2612815.0,21,3054,nan,2022-04-01,2010-04-10,2022-04-01,2612802,CC BY-SA 4.0,https://stackoverflow.com/questions/2612802/how-do-i-clone-a-list-so-that-it-doesnt-change-unexpectedly-after-assignment,How do I clone a list so that it doesn't change unexpectedly after assignment?,2014-12-05,,,
8,"['python', 'pandas', 'join', 'merge', 'concatenation']","{'account_id': 6321039, 'reputation': 325143, 'user_id': 4909087, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/LmD3e.png?s=256&g=1', 'display_name': 'cs95', 'link': 'https://stackoverflow.com/users/4909087/cs95'}",True,284058,53645883.0,6,748,nan,2021-09-18,2018-12-06,2021-07-31,53645882,CC BY-SA 4.0,https://stackoverflow.com/questions/53645882/pandas-merging-101,Pandas Merging 101,2020-01-14,,,
9,"['python', 'pandas', 'group-by', 'pivot', 'pandas-groupby']","{'account_id': 2707337, 'reputation': 263695, 'user_id': 2336654, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/Mqqfo.png?s=256&g=1', 'display_name': 'piRSquared', 'link': 'https://stackoverflow.com/users/2336654/pirsquared'}",True,49739,47152692.0,3,522,nan,2021-08-07,2017-11-07,2021-07-31,47152691,CC BY-SA 4.0,https://stackoverflow.com/questions/47152691/how-can-i-pivot-a-dataframe,How can I pivot a dataframe?,2019-12-19,,,
