,is_accepted,score,creation_date,answer_id,question_id
0,False,622,9/2/2017,46011113,8154
1,False,135,11/20/2019,58943939,8154
2,False,74,5/24/2016,37402939,146359
3,False,41,2/17/2017,42305135,146359
4,False,19,2/17/2019,54734864,146359
5,False,13,7/30/2020,63177070,242485
6,True,2,11/6/2017,47144985,242485
7,False,1,7/15/2017,45118111,242485
8,True,1,4/26/2022,72020351,259314
9,False,0,12/19/2017,47881915,259314
10,False,0,4/26/2022,72020354,293300
11,False,2,2/7/2022,71019962,293300
12,True,2,4/26/2022,72017125,293300
13,False,1,11/30/2021,70171807,338768
14,False,1,12/31/2021,70537470,338768
15,False,1,2/18/2022,71178679,338768
16,False,1,3/30/2022,71669996,368805
17,False,1,4/21/2022,71950368,368805
18,False,1,4/26/2022,72018045,368805
19,True,0,5/23/2021,67661346,370357
20,False,0,12/31/2021,70542143,370357
21,False,0,4/14/2022,71873519,370357
22,False,0,4/26/2022,72018357,378811
23,False,0,4/26/2022,72019331,378811
24,False,25,5/2/2015,30001066,378811
25,True,18,4/11/2020,61156053,456867
26,False,11,3/9/2016,35898192,456867
27,False,10,2/10/2016,35322449,456867
28,False,8,7/28/2020,63126712,514371
29,False,3,12/12/2020,65264264,514371
30,False,2,3/5/2020,60550285,514371
31,True,1,4/26/2022,72015533,519296
32,True,1,4/26/2022,72016413,519296
33,False,1,4/26/2022,72017454,519296
34,True,1,4/26/2022,72017543,762292
35,False,0,4/18/2021,67151361,762292
36,False,0,4/26/2022,72015617,762292
37,False,0,4/26/2022,72016767,812477
38,False,287,2/2/2017,42002539,812477
39,False,26,1/28/2020,59947209,812477
40,False,21,7/15/2021,68390224,855493
41,False,18,11/16/2017,47323443,855493
42,False,7,1/16/2022,70728167,855493
43,True,4,3/19/2015,29135518,913590
44,False,1,3/19/2015,29135483,913590
45,False,1,3/19/2015,29135505,913590
46,False,1,6/12/2018,50808185,966983
47,True,1,10/12/2019,58352730,966983
48,False,1,10/28/2020,64575409,966983
49,False,1,10/18/2021,69618150,1093884
50,False,1,4/26/2022,72014729,1093884
51,False,0,4/15/2022,71886988,1093884
52,False,0,4/22/2022,71968806,1098643
53,True,0,4/26/2022,72009415,1098643
54,True,0,4/26/2022,72013462,1098643
55,False,0,4/26/2022,72014718,1101750
56,False,-1,4/26/2022,72014397,1101750
57,True,-3,4/22/2022,71968845,1101750
58,False,75,2/5/2019,54541742,1134607
59,False,39,10/18/2019,58440898,1134607
60,False,18,4/26/2016,36852617,1134607
61,True,229,4/18/2018,49893339,1140672
62,False,26,7/30/2018,51600428,1140672
63,False,15,5/26/2019,56312295,1140672
64,True,11,10/6/2021,69460155,1250103
65,False,3,10/6/2021,69466261,1250103
66,True,3,4/26/2022,72012042,1250103
67,False,2,4/25/2022,72000449,1334607
68,False,1,11/16/2021,69991406,1334607
69,False,1,11/29/2021,70160049,1334607
70,False,1,12/16/2021,70377979,1383126
71,True,1,12/16/2021,70377992,1383126
72,False,0,4/26/2022,72011864,1383126
73,False,0,4/26/2022,72012098,1384535
74,True,0,4/26/2022,72012293,1384535
75,True,0,4/26/2022,72012828,1412787
76,False,14,3/29/2020,60908860,1412787
77,True,5,12/10/2019,59266780,1412787
78,False,4,10/21/2020,64456227,1614648
79,False,2,4/25/2022,71995155,1614648
80,True,2,4/25/2022,72003724,1614648
81,False,1,3/9/2022,71408572,1663790
82,False,1,4/24/2022,71989771,1663790
83,False,1,4/24/2022,71990030,1663790
84,False,1,4/25/2022,72003091,1780003
85,False,1,4/26/2022,72006154,1780003
86,False,1,4/26/2022,72009047,1780003
87,True,1,4/26/2022,72009664,1798796
88,True,1,4/26/2022,72010943,1798796
89,False,0,4/18/2022,71914006,1798796
90,True,0,4/24/2022,71986601,1802971
91,False,0,4/26/2022,72008675,1802971
92,True,0,4/26/2022,72009414,1802971
93,True,0,4/26/2022,72009418,1834919
94,False,0,4/26/2022,72009501,1834919
95,False,0,4/26/2022,72009785,1834919
96,False,-1,4/26/2022,72009626,1841565
97,False,46,10/14/2021,69569206,1841565
98,False,12,4/4/2022,71735458,1841565
99,False,4,10/30/2018,53057060,1899436
100,True,3,6/29/2014,24478483,1899436
101,True,3,5/23/2020,61966747,1899436
102,False,3,4/7/2021,66977397,1953261
103,False,3,4/26/2022,72006222,1953261
104,True,2,12/29/2021,70523637,1953261
105,False,2,4/25/2022,72002716,1997710
106,False,2,4/25/2022,72004513,1997710
107,False,2,4/26/2022,72006608,1997710
108,True,2,4/26/2022,72006843,2038667
109,True,2,4/26/2022,72007999,2038667
110,True,1,1/14/2022,70708429,2038667
111,True,1,4/21/2022,71950728,2087672
112,True,1,4/23/2022,71982122,2096466
113,False,1,4/25/2022,72005127,2096466
114,True,1,4/26/2022,72006650,2112715
115,False,1,4/26/2022,72007758,2112715
116,False,1,4/26/2022,72007851,2112715
117,False,1,4/26/2022,72008423,2117586
118,False,1,5/4/2022,72117515,2117586
119,False,0,8/24/2021,68905785,2136739
120,True,0,4/25/2022,72002789,2136739
121,False,0,4/25/2022,72004736,2136739
122,True,0,4/25/2022,72004903,2253816
123,True,0,4/26/2022,72006156,2266646
124,False,0,4/26/2022,72008014,2266646
125,False,0,4/26/2022,72008055,2266646
126,False,0,4/26/2022,72008461,2325923
127,False,79,7/5/2019,56895546,2325923
128,False,47,3/26/2018,49496224,2325923
129,True,44,1/12/2017,41622316,2365411
130,True,37,7/11/2016,38314163,2365411
131,False,29,10/13/2018,52796383,2365411
132,False,5,3/26/2019,55363474,2376464
133,True,3,4/25/2022,72001784,2376464
134,False,1,2/7/2022,71015813,2427947
135,False,1,2/8/2022,71039306,2464568
136,False,1,3/22/2022,71571161,2464568
137,True,1,4/25/2022,72002191,2464568
138,True,1,4/25/2022,72003003,2505317
139,True,0,10/27/2020,64546814,2505317
140,False,0,4/8/2021,67004332,2505317
141,False,0,5/13/2021,67513436,2609518
142,True,0,4/25/2022,72002306,2609518
143,False,0,4/25/2022,72002516,2609518
144,True,0,4/25/2022,72002621,2778840
145,False,0,4/25/2022,72002758,2778840
146,False,-1,4/25/2022,72003788,2778840
147,True,-1,4/25/2022,72004375,2792650
148,True,32,8/15/2020,63421649,2792650
149,False,4,12/10/2020,65236693,2792650
150,False,2,3/16/2021,66651132,2817869
151,False,2,4/25/2022,72001145,2817869
152,True,2,4/25/2022,72001540,2817869
153,True,1,4/25/2022,72001163,2844922
154,True,0,4/22/2022,71973877,2844922
155,True,0,4/24/2022,71984722,2844922
156,True,0,4/24/2022,71984738,2941995
157,True,0,4/25/2022,72000527,2941995
158,True,0,4/25/2022,72001573,2941995
159,False,163,2/15/2017,42254713,2962439
160,True,73,2/10/2019,54613085,3018348
161,True,72,6/23/2013,17256830,3039567
162,False,35,3/13/2017,42766272,3039567
163,False,7,12/7/2021,70265733,3039567
164,False,3,6/12/2020,62334736,3172929
165,False,2,7/3/2020,62711851,3172929
166,False,1,6/13/2020,62364022,3172929
167,False,1,6/14/2020,62366985,3193060
168,True,1,6/14/2021,67969098,3193060
169,True,1,4/25/2022,71997180,3193060
170,True,1,4/25/2022,71998279,3197321
171,False,222,2/10/2021,66138833,3197321
172,False,42,2/5/2021,66066058,3197321
173,False,24,3/22/2021,66743692,3212068
174,False,4,2/24/2020,60371969,3212068
175,False,2,4/29/2021,67308923,3212068
176,False,1,2/27/2020,60441568,3218014
177,True,1,11/13/2020,64821658,3218014
178,True,1,4/27/2021,67285281,3218014
179,True,1,4/25/2022,71996931,3224268
180,False,0,4/25/2022,71996265,3224268
181,False,47,7/21/2021,68464690,3224268
182,True,15,6/27/2019,56784562,3336549
183,False,7,11/26/2021,70124863,3336549
184,False,2,9/30/2021,69392852,3336549
185,False,2,12/29/2021,70523981,3383865
186,False,2,3/21/2022,71551313,3383865
187,False,1,5/22/2021,67645730,3383865
188,False,1,12/23/2021,70460209,3410206
189,True,1,4/25/2022,71993954,3410206
190,False,0,12/8/2020,65200194,3410206
191,True,0,2/25/2022,71271243,3422342
192,False,0,4/21/2022,71952484,3536303
193,False,0,4/25/2022,71993438,3536303
194,True,0,4/25/2022,71993452,3536303
195,True,0,4/25/2022,71995582,3544155
196,False,380,8/12/2020,63377623,3544155
197,False,53,3/4/2021,66473309,3544155
198,False,49,8/5/2021,68666500,3578147
199,False,3,4/24/2022,71992043,3578147
200,False,3,4/24/2022,71992191,3578147
201,True,2,4/24/2022,71991686,3636967
202,False,2,4/24/2022,71991806,3636967
203,True,2,4/24/2022,71991869,3636967
204,False,2,4/24/2022,71992202,3680262
205,True,2,4/25/2022,71992327,3680262
206,True,1,4/21/2022,71960459,3680262
207,False,1,4/24/2022,71990169,3697452
208,False,1,4/24/2022,71991696,3697452
209,False,1,4/25/2022,71992563,3697452
210,False,0,4/21/2022,71960458,3730616
211,False,0,4/22/2022,71961236,3730616
212,False,0,4/24/2022,71990407,3730616
213,True,0,4/24/2022,71991589,3762566
214,True,0,4/25/2022,71992644,3762566
215,False,6,12/3/2018,53593056,3762566
216,False,3,5/28/2014,23904807,3763482
217,True,3,6/18/2019,56649644,3763482
218,False,3,12/28/2019,59509263,3763482
219,False,2,4/26/2016,36873288,3810865
220,False,2,4/24/2022,71990681,3810865
221,True,1,4/24/2022,71985607,3810865
222,True,0,11/6/2021,69861501,3826236
223,True,0,4/4/2022,71730509,3826236
224,False,0,4/19/2022,71918597,3837546
225,False,0,4/19/2022,71918993,3887381
226,True,0,4/19/2022,71920028,3887381
227,False,0,4/24/2022,71990273,3887381
228,False,0,4/24/2022,71990826,3969726
229,True,0,4/24/2022,71990899,3969726
230,False,0,4/24/2022,71991271,3969726
231,False,41,3/28/2018,49525132,3993560
232,True,12,1/20/2017,41761535,3993560
233,False,9,12/7/2019,59226957,3993560
234,False,7,3/28/2022,71645733,4005796
235,False,6,4/9/2021,67015509,4005796
236,False,4,3/28/2022,71647006,4005796
237,False,3,11/29/2018,53546450,4025442
238,False,3,4/24/2022,71985651,4025442
239,False,3,4/24/2022,71985842,4025442
240,True,2,10/30/2021,69780091,4050907
241,False,2,4/24/2022,71985984,4050907
242,False,2,4/24/2022,71986706,4050907
243,True,2,4/24/2022,71989728,4097461
244,False,1,12/17/2020,65334242,4097461
245,False,1,10/31/2021,69782609,4097461
246,False,1,3/28/2022,71645332,4145079
247,False,1,4/24/2022,71987016,4145079
248,False,0,4/24/2022,71988841,4145079
249,True,0,4/24/2022,71989236,4166070
250,True,91,5/25/2017,44178803,4166070
251,True,90,8/6/2017,45530363,4166070
252,False,33,10/21/2019,58481934,4178648
253,False,32,7/29/2018,51580328,4178648
254,False,21,2/1/2018,48557421,4178648
255,False,20,3/7/2018,49142939,4188326
256,True,3,12/14/2019,59330103,4188326
257,False,2,4/24/2022,71986990,4188326
258,True,2,4/24/2022,71987003,4199984
259,False,1,12/14/2019,59330024,4199984
260,True,1,4/21/2022,71950570,4199984
261,False,1,4/24/2022,71987072,4273936
262,True,1,4/24/2022,71987283,4273936
263,False,-1,4/24/2022,71988145,4273936
264,True,66,3/30/2022,71674345,4320761
265,True,39,10/24/2014,26550241,4320761
266,False,17,12/22/2016,41289490,4320761
267,False,10,7/2/2019,56858709,4359870
268,False,9,11/28/2014,27187436,4370035
269,False,6,2/23/2022,71229614,4370035
270,True,4,8/11/2021,68738197,4370035
